date_time,number_of_rentals
2021-04-01,23837.289647042693
2021-04-02,24635.3871160724
2021-04-03,16774.22881913805
2021-04-04,16984.02685163319
2021-04-05,32961.9993826937
2021-04-06,25419.50337801601
2021-04-07,26170.94153791321
2021-04-08,27014.695062533116
2021-04-09,34434.2268073482
2021-04-10,33404.350040601734
2021-04-11,30851.997490731224
2021-04-12,15151.3401888443
2021-04-13,12280.346202324086
2021-04-14,23511.199093108447
2021-04-15,29511.851244102283
2021-04-16,8710.90874905526
2021-04-17,13214.651079218853
2021-04-18,28470.407060561694
2021-04-19,27793.33022343506
2021-04-20,26490.192107821196
2021-04-21,34790.278736602
2021-04-22,24550.76332031574
2021-04-23,28522.59929124106
2021-04-24,25490.59115874596
2021-04-25,25234.263194056315
2021-04-26,35768.88578020609
2021-04-27,30868.464571368706
2021-04-28,22340.884846429526
2021-04-29,36035.9130565839
2021-04-30,21091.418860435497
2021-05-01,14934.262319668818
2021-05-02,26801.824786165445
2021-05-03,34571.37901465361
2021-05-04,20685.92382569794
2021-05-05,22783.41822122809
2021-05-06,39230.172737295
2021-05-07,28062.033074463725
2021-05-08,40452.80522584508
2021-05-09,33515.10249383731
2021-05-10,34055.64296236539
2021-05-11,40732.84678945509
2021-05-12,40789.08078022902
2021-05-13,33599.69691606505
2021-05-14,34320.21894969987
2021-05-15,32596.403717807483
2021-05-16,20885.419047740434
2021-05-17,36263.17707211507
2021-05-18,34721.96218268578
2021-05-19,33777.1791316971
2021-05-20,26637.74092078784
2021-05-21,16820.55531289551
2021-05-22,42183.76766908064
2021-05-23,37822.73278876408
2021-05-24,41220.09713703556
2021-05-25,29699.325403932344
2021-05-26,23277.733257104814
2021-05-27,29907.55607872925
2021-05-28,30377.07991501093
2021-05-29,31885.715830161545
2021-05-30,27340.410858952335
2021-05-31,38456.1974802486
2021-06-01,40256.257751722806
2021-06-02,41065.79009283705
2021-06-03,34042.613931019456
2021-06-04,22611.804657941986
2021-06-05,39996.48843572012
2021-06-06,42926.49204628191
2021-06-07,49373.59348728215
2021-06-08,36294.60116315999
2021-06-09,42691.8687989972
2021-06-10,39757.952244358916
2021-06-11,29452.22547410796
2021-06-12,51960.76117891645
2021-06-13,47050.92027308112
2021-06-14,44615.56831936195
2021-06-15,46236.53687706633
2021-06-16,41468.8038627937
2021-06-17,40212.81417963803
2021-06-18,37927.91253742386
2021-06-19,46059.01538174867
2021-06-20,41241.58404140828
2021-06-21,47913.4030488013
2021-06-22,27136.38364110306
2021-06-23,47100.79286066985
2021-06-24,35766.48934787018
2021-06-25,51221.45131997525
2021-06-26,43244.723150057755
2021-06-27,40080.54653021624
2021-06-28,46893.12958394751
2021-06-29,40096.08145795354
2021-06-30,42592.415990047375
