date_time,number_of_rentals
2021-04-01,25952.74518276012
2021-04-02,24101.24377335531
2021-04-03,9481.303025590001
2021-04-04,18118.81746745847
2021-04-05,30628.112624655194
2021-04-06,29547.19735388795
2021-04-07,23498.71243064451
2021-04-08,20560.751964374675
2021-04-09,30543.127624655193
2021-04-10,27445.21311016441
2021-04-11,30686.519358948684
2021-04-12,19925.579107530284
2021-04-13,16582.76854500483
2021-04-14,20109.682573501657
2021-04-15,29757.174105896178
2021-04-16,20570.390539385
2021-04-17,18548.698644473166
2021-04-18,26012.956387125192
2021-04-19,26930.096306259988
2021-04-20,30388.136469996163
2021-04-21,33461.094870267465
2021-04-22,32777.175806163104
2021-04-23,26182.58179666612
2021-04-24,33199.4613699774
2021-04-25,33397.377030293785
2021-04-26,36735.348672275184
2021-04-27,33936.13423542149
2021-04-28,29813.05611386656
2021-04-29,35755.79326405436
2021-04-30,25050.43442904998
2021-05-01,7112.052507552485
2021-05-02,32521.41192603038
2021-05-03,36659.536136364375
2021-05-04,19847.659834777016
2021-05-05,30978.526316938154
2021-05-06,35590.776480313994
2021-05-07,31496.49511361736
2021-05-08,35172.70055743143
2021-05-09,35448.17008032521
2021-05-10,33013.24476235527
2021-05-11,36558.92947099616
2021-05-12,36197.373593828146
2021-05-13,39992.79766011247
2021-05-14,40302.0908040661
2021-05-15,31664.99150610885
2021-05-16,7501.676507936508
2021-05-17,21390.05001776679
2021-05-18,39369.248213567844
2021-05-19,43773.270643645286
2021-05-20,28435.060008515906
2021-05-21,22533.138254303238
2021-05-22,40602.261372158566
2021-05-23,44010.66641384218
2021-05-24,39727.56235207898
2021-05-25,31282.759206774805
2021-05-26,35883.03805493069
2021-05-27,30511.234996113464
2021-05-28,27796.63753194522
2021-05-29,37174.903930319175
2021-05-30,43818.38148080272
2021-05-31,33658.461340749556
2021-06-01,44398.29967888771
2021-06-02,44917.23967797815
2021-06-03,38158.337844322334
2021-06-04,38590.82916272957
2021-06-05,41719.80228482686
2021-06-06,41555.045952918845
2021-06-07,46391.40287507814
2021-06-08,43287.71061508446
2021-06-09,49277.64109973494
2021-06-10,48130.990089152736
2021-06-11,21798.18495113918
2021-06-12,47952.469024465274
2021-06-13,49383.98420334215
2021-06-14,49441.14243863627
2021-06-15,37565.11147597044
2021-06-16,41935.14752558814
2021-06-17,45107.40952736678
2021-06-18,35369.020996232975
2021-06-19,48308.00452228778
2021-06-20,41962.72452464577
2021-06-21,48958.32569946627
2021-06-22,41379.621432389205
2021-06-23,30579.631636426104
2021-06-24,45326.49694369261
2021-06-25,46393.3783690806
2021-06-26,43174.72645254942
2021-06-27,48241.585938865064
2021-06-28,35494.49474032221
2021-06-29,44741.16962975051
2021-06-30,41498.440793531176
