date_time,number_of_rentals
2021-04-01,25615.49
2021-04-02,24929.535
2021-04-03,10725.85
2021-04-04,17847.815
2021-04-05,29317.15
2021-04-06,28165.7
2021-04-07,21432.625
2021-04-08,20027.585
2021-04-09,29355.455
2021-04-10,26770.32
2021-04-11,29270.39
2021-04-12,20459.375
2021-04-13,16131.25
2021-04-14,20385.45
2021-04-15,27634.065
2021-04-16,20736.005
2021-04-17,18063.33
2021-04-18,25802.69
2021-04-19,24894.675
2021-04-20,29391.65
2021-04-21,33943.21
2021-04-22,33407.015
2021-04-23,26477.21
2021-04-24,33274.035
2021-04-25,33310.755
2021-04-26,36149.32
2021-04-27,32892.395
2021-04-28,28707.61
2021-04-29,34673.83
2021-04-30,24473.24
2021-05-01,7195.57
2021-05-02,31518.45
2021-05-03,35654.26
2021-05-04,20844.455
2021-05-05,30077.845
2021-05-06,36540.76
2021-05-07,30747.33
2021-05-08,34256.245
2021-05-09,35867.455
2021-05-10,33501.255
2021-05-11,37613.905
2021-05-12,37794.665
2021-05-13,39693.335
2021-05-14,39898.95
2021-05-15,30747.51
2021-05-16,7763.425
2021-05-17,22824.13
2021-05-18,40056.13
2021-05-19,42182.1
2021-05-20,28111.705
2021-05-21,21737.98
2021-05-22,38433.955
2021-05-23,41275.93
2021-05-24,38358.38
2021-05-25,30845.105
2021-05-26,33581.74
2021-05-27,30170.235
2021-05-28,28599.52
2021-05-29,33646.745
2021-05-30,41683.35
2021-05-31,31219.36
2021-06-01,41870.88
2021-06-02,42921.275
2021-06-03,37291.215
2021-06-04,37747.745
2021-06-05,41465.755
2021-06-06,41975.905
2021-06-07,46412.21
2021-06-08,41243.585
2021-06-09,47605.925
2021-06-10,46429.425
2021-06-11,20884.44
2021-06-12,48917.22
2021-06-13,49286.94
2021-06-14,48929.93
2021-06-15,37168.58
2021-06-16,43362.78
2021-06-17,42498.04
2021-06-18,33597.065
2021-06-19,48113.555
2021-06-20,44323.5
2021-06-21,48942.88
2021-06-22,39799.585
2021-06-23,28458.32
2021-06-24,43853.72
2021-06-25,45290.495
2021-06-26,43087.615
2021-06-27,46555.27
2021-06-28,33690.365
2021-06-29,42364.0
2021-06-30,39631.315
