date_time,number_of_rentals
2021-04-01,25226.004755611146
2021-04-02,25138.428320325092
2021-04-03,10205.970783903298
2021-04-04,15278.358244724173
2021-04-05,33710.53378364947
2021-04-06,29937.03552257107
2021-04-07,25307.958043088034
2021-04-08,26391.235243369563
2021-04-09,34155.79411489773
2021-04-10,29844.334763351533
2021-04-11,28562.38099910157
2021-04-12,10705.020597978662
2021-04-13,9367.985790936846
2021-04-14,23458.68221040365
2021-04-15,26117.645141556677
2021-04-16,8549.988914709204
2021-04-17,11299.1296603924
2021-04-18,25487.96859690508
2021-04-19,21757.336236208543
2021-04-20,22613.00628687459
2021-04-21,34008.24919632557
2021-04-22,26497.425776139204
2021-04-23,28728.809405188287
2021-04-24,28764.96083276764
2021-04-25,33378.36592544394
2021-04-26,36372.62913260819
2021-04-27,24549.16721148159
2021-04-28,23176.9220946138
2021-04-29,37088.16604199353
2021-04-30,21646.379598916636
2021-05-01,9604.6312245572
2021-05-02,30707.208318622525
2021-05-03,35485.81716979015
2021-05-04,12174.200738062755
2021-05-05,30571.50868509662
2021-05-06,37902.55072117905
2021-05-07,30596.42775583652
2021-05-08,34140.76435775747
2021-05-09,35998.446084649004
2021-05-10,35263.996117154435
2021-05-11,44513.22545792757
2021-05-12,46731.872954424325
2021-05-13,30194.75361920454
2021-05-14,27916.781077502463
2021-05-15,31700.050042627205
2021-05-16,16548.136185117215
2021-05-17,26907.85505333357
2021-05-18,36312.35912481923
2021-05-19,41397.70442512736
2021-05-20,22692.465645657776
2021-05-21,15607.156162410738
2021-05-22,44647.75648496205
2021-05-23,39382.042162579535
2021-05-24,42931.45461372635
2021-05-25,22443.41127225328
2021-05-26,22808.34278767458
2021-05-27,23973.830567467678
2021-05-28,29454.585622981675
2021-05-29,38254.64798389232
2021-05-30,37329.811981186314
2021-05-31,36168.9658350957
2021-06-01,37489.62984707324
2021-06-02,44450.93367274896
2021-06-03,20478.38379262949
2021-06-04,31893.34674681342
2021-06-05,44384.29997110933
2021-06-06,47361.99489164929
2021-06-07,53380.63521163833
2021-06-08,42847.426903276515
2021-06-09,40417.59711679017
2021-06-10,38135.80839921477
2021-06-11,25142.372302128082
2021-06-12,52578.31348934044
2021-06-13,47695.475667553495
2021-06-14,44700.46449772174
2021-06-15,47191.74353054671
2021-06-16,36751.02829509889
2021-06-17,39428.99642159202
2021-06-18,36903.98744598799
2021-06-19,50136.07747767797
2021-06-20,42778.9205961109
2021-06-21,50899.557343699984
2021-06-22,40542.66167000997
2021-06-23,34705.615740840025
2021-06-24,41120.41609598385
2021-06-25,49512.595574433704
2021-06-26,39876.92461529191
2021-06-27,49591.209520858785
2021-06-28,55310.576773961344
2021-06-29,41973.179162034125
2021-06-30,35153.62862334022
