title,box_off_num
용서는 없다,3500126.3965155906
아빠가 여자를 좋아해,910858.5804953037
하모니,923213.2390375357
의형제,2357597.740496827
평행 이론,1110278.7746849123
회오리 바람,72206.6979061451
경계도시 2,77614.90544037343
이웃집 남자,162643.75147206482
아마존의 눈물 극장판,96775.89467828318
반가운 살인자,755288.8247257064
집 나온 남자들,498584.9590426402
베스트셀러,1472178.527580792
작은 연못,814508.3105919136
경,74639.31600406571
대한민국 1%,517004.6001791792
포화 속으로,2551552.672974785
나쁜 놈이 더 잘 잔다,74323.93557211901
맨발의 꿈,1754283.2438809585
요술,94276.0096934052
마법천자문: 대마왕의 부활을 막아라,319434.0111580294
인플루언스,9035.124274196249
미스터 좀비,168887.80824288406
김복남 살인사건의 전말,845328.234558762
엄지아빠,104142.31695589134
탈주,214744.17329868866
해결사,1404178.921837705
할,124373.83996070965
된장,883286.2312761352
조금만 더 가까이,367108.90725897043
우리 만난 적 있나요,164814.94004188367
쩨쩨한 로맨스,1746797.8073791638
용서,108332.5159213877
브라보! 재즈 라이프,241235.4108948132
카페 느와르,1868197.6112040118
오래된 인력거,101437.11678027757
창피해,524364.9404792238
"양 한 마리, 양 두 마리",100746.77076990133
하얀 정글,78766.72760511497
다슬이,149228.00475216354
REC 알이씨,56169.06401711139
량강도 아이들,235236.11443036693
티끌모아 로맨스,126294.08466301442
더 킥,219403.8044858068
커플즈,709585.1028743063
오늘,690534.0593748909
완득이,296887.55641176325
은어,93645.1208399519
고래를 찾는 자전거,93753.18941592186
도가니,1332462.3391972973
겨울냄새,171407.82534242625
환타스틱 모던가야그머,241134.2523217407
블라인드,723742.2129302189
링크,261343.27107853146
퀵,1390429.789862018
모비딕,852553.6440857109
굿바이 보이,836210.9458250762
종로의 기적,533839.1799756408
회초리,787237.3820497628
체포왕,1580299.9753545825
세상에서 가장 아름다운 이별,3377331.8042271035
나는 아빠다,630305.7014288736
수상한 고객들,2354936.29653979
수상한 이웃들,351352.1200457627
돌아오는 길,33096.86640325404
우리 이웃의 범죄,73754.87010858086
엄마는 창녀다,41498.686010534024
위험한 상견례,1328377.104736005
간증,185939.8799132364
"사랑한다, 사랑하지 않는다",448583.0597529928
"혜화, 동",195866.05640327133
글러브,3252934.4453997808
가문의 귀환,726477.4577723115
잔혹한 앵글의 로망스,44818.578703355815
나의 PS 파트너,916428.7443171937
롤플레이,65317.60658112414
마티나,60109.777713547766
음치 클리닉,1892516.201087024
남영동1985,175797.2412497333
돈 크라이 마미,206511.2609913069
반드시 크게 들을 것 2 : Wild Days,89545.37506221655
범죄소년,195866.05640327133
내가 살인범이다,2377864.3990318663
터치,93420.11584829734
늑대소년,2614449.3164018965
맥코리아,69390.00843467654
용의자X,1399933.1370627955
하나안,207765.65020101535
투 올드 힙합 키드,133108.26931274682
한경직,231563.05008351366
미운오리새끼,147899.5584738133
황제펭귄 펭이와 솜이,86389.20192662271
두 개의 문,121203.77418499049
I AM,441030.0040870737
후궁 : 제왕의 첩,2101508.488109285
"안녕, 하세요!",280044.08192254184
천국의 아이들,419136.05166452174
할머니는 일학년,119254.25404879749
두레소리,208072.02354297996
"봄, 눈",246041.94826610578
은교,1118062.311277525
간기남,1459430.2146226612
시체가 돌아왔다,1400305.0375402584
말하는 건축가,123884.2542296107
